date,region,state,cases,deaths
2020-04-04,Centro-Oeste,Distrito Federal,454,7
2020-04-04,Centro-Oeste,Goiás,103,2
2020-04-04,Centro-Oeste,Mato Grosso,56,1
2020-04-04,Centro-Oeste,Mato Grosso do Sul,62,1
2020-04-04,Nordeste,Alagoas,23,2
2020-04-04,Nordeste,Bahia,332,7
2020-04-04,Nordeste,Ceará,730,22
2020-04-04,Nordeste,Maranhão,88,1
2020-04-04,Nordeste,Paraíba,32,2
2020-04-04,Nordeste,Pernambuco,176,14
2020-04-04,Nordeste,Piauí,22,4
2020-04-04,Nordeste,Rio Grande do Norte,212,5
